description,category
Cracks on the road at Block A,PWD
No water supply in MG Road,Water Supply
Waste accumulation causing smell in Anna Nagar,Sanitation
Garbage lying unattended at Gandhi Nagar,Sanitation
Streetlight not working in School Road,Electricity
Broken pavement near Anna Nagar,PWD
Overflowing dustbins near Park Area,Sanitation
Frequent power cuts in Market Area,Electricity
Clogged drainage system in School Road,Drainage
Sewage issue reported in Market Area,Drainage
Garbage not collected in School Road,Sanitation
Road damage reported near School Road,PWD
Water stagnation due to drainage in Block A,Drainage
Frequent power cuts in Anna Nagar,Electricity
Uneven road surface in Anna Nagar area,PWD
Cracks on the road at Market Area,PWD
Overflowing dustbins near MG Road,Sanitation
Drainage overflow in Bus Stand,Drainage
Garbage lying unattended at Gandhi Nagar,Sanitation
Uneven road surface in Gandhi Nagar area,PWD
Clogged drainage system in Anna Nagar,Drainage
Drainage overflow in School Road,Drainage
Drainage overflow in School Road,Drainage
Blocked drain causing flooding at Anna Nagar,Drainage
Road damage reported near Colony Gate,PWD
Overflowing dustbins near Park Area,Sanitation
Road damage reported near School Road,PWD
Blocked drain causing flooding at Block A,Drainage
Low water pressure in Park Area,Water Supply
Burst pipeline near Park Area,Water Supply
Power outage in Gandhi Nagar,Electricity
No water supply in Market Area,Water Supply
General complaint in Park Area,Other
Frequent power cuts in Block A,Electricity
Cracks on the road at Park Area,PWD
Unclean streets reported in School Road,Sanitation
Low water pressure in MG Road,Water Supply
Clogged drainage system in Gandhi Nagar,Drainage
No water supply in Market Area,Water Supply
Broken pavement near Park Area,PWD
Stray animals causing issues in Main Street,Other
Road damage reported near Bus Stand,PWD
Cracks on the road at Park Area,PWD
Water shortage reported in Block A,Water Supply
Illegal activity reported in MG Road,Other
Sewage issue reported in Anna Nagar,Drainage
Uneven road surface in Colony Gate area,PWD
Low water pressure in MG Road,Water Supply
Unclean streets reported in Main Street,Sanitation
Road damage reported near Anna Nagar,PWD
Burst pipeline near MG Road,Water Supply
Low water pressure in Market Area,Water Supply
General complaint in Main Street,Other
Clogged drainage system in Main Street,Drainage
Frequent power cuts in Market Area,Electricity
Burst pipeline near Colony Gate,Water Supply
Frequent power cuts in MG Road,Electricity
Blocked drain causing flooding at Main Street,Drainage
Stray animals causing issues in Bus Stand,Other
Water leakage at Bus Stand,Water Supply
Power outage in Colony Gate,Electricity
Blocked drain causing flooding at MG Road,Drainage
Broken pavement near MG Road,PWD
Electric pole issue at Block A,Electricity
Water leakage at Park Area,Water Supply
Water leakage at Block A,Water Supply
Cracks on the road at Main Street,PWD
Overflowing dustbins near Park Area,Sanitation
Stray animals causing issues in Market Area,Other
Drainage overflow in School Road,Drainage
There is a pothole on Gandhi Nagar road,PWD
Stray animals causing issues in Gandhi Nagar,Other
Uneven road surface in Block A area,PWD
Uneven road surface in Colony Gate area,PWD
Sewage issue reported in Colony Gate,Drainage
Overflowing dustbins near Market Area,Sanitation
Low water pressure in Market Area,Water Supply
Low water pressure in Main Street,Water Supply
Water stagnation due to drainage in Market Area,Drainage
There is a pothole on MG Road road,PWD
Illegal activity reported in Bus Stand,Other
Burst pipeline near Main Street,Water Supply
Low water pressure in MG Road,Water Supply
Electric pole issue at Block A,Electricity
Frequent power cuts in Bus Stand,Electricity
Water stagnation due to drainage in Anna Nagar,Drainage
Power outage in Gandhi Nagar,Electricity
Electric pole issue at Gandhi Nagar,Electricity
Road damage reported near Main Street,PWD
Clogged drainage system in School Road,Drainage
Water leakage at Park Area,Water Supply
Water stagnation due to drainage in Colony Gate,Drainage
Uneven road surface in Main Street area,PWD
Power outage in Anna Nagar,Electricity
General complaint in Anna Nagar,Other
Frequent power cuts in Block A,Electricity
Water stagnation due to drainage in Gandhi Nagar,Drainage
Waste accumulation causing smell in School Road,Sanitation
There is a pothole on Park Area road,PWD
Burst pipeline near Bus Stand,Water Supply
Unclean streets reported in School Road,Sanitation
Public nuisance reported in Gandhi Nagar,Other
Streetlight not working in Bus Stand,Electricity
Electric pole issue at MG Road,Electricity
Streetlight not working in Colony Gate,Electricity
Broken pavement near Colony Gate,PWD
Unclean streets reported in Gandhi Nagar,Sanitation
Waste accumulation causing smell in Colony Gate,Sanitation
Water shortage reported in MG Road,Water Supply
Garbage not collected in Market Area,Sanitation
Water stagnation due to drainage in Market Area,Drainage
Low water pressure in Gandhi Nagar,Water Supply
Water leakage at MG Road,Water Supply
There is a pothole on MG Road road,PWD
Drainage overflow in Park Area,Drainage
No water supply in Gandhi Nagar,Water Supply
General complaint in Anna Nagar,Other
Frequent power cuts in Colony Gate,Electricity
Broken pavement near Block A,PWD
Sewage issue reported in Main Street,Drainage
Cracks on the road at School Road,PWD
No water supply in Block A,Water Supply
Garbage lying unattended at Block A,Sanitation
Water leakage at Park Area,Water Supply
Overflowing dustbins near MG Road,Sanitation
Burst pipeline near School Road,Water Supply
Public nuisance reported in Main Street,Other
Illegal activity reported in Bus Stand,Other
Cracks on the road at MG Road,PWD
No electricity supply in Block A,Electricity
No water supply in Park Area,Water Supply
Waste accumulation causing smell in Main Street,Sanitation
Public nuisance reported in Bus Stand,Other
Blocked drain causing flooding at Colony Gate,Drainage
Cracks on the road at Main Street,PWD
Uneven road surface in Colony Gate area,PWD
Road damage reported near MG Road,PWD
Broken pavement near Bus Stand,PWD
Sewage issue reported in School Road,Drainage
Water stagnation due to drainage in Main Street,Drainage
Low water pressure in Block A,Water Supply
Drainage overflow in MG Road,Drainage
Low water pressure in Market Area,Water Supply
Stray animals causing issues in Main Street,Other
Electric pole issue at Block A,Electricity
Public nuisance reported in Colony Gate,Other
Unclean streets reported in Gandhi Nagar,Sanitation
Noise pollution in Gandhi Nagar,Other
Low water pressure in Bus Stand,Water Supply
No electricity supply in Market Area,Electricity
No electricity supply in Block A,Electricity
Stray animals causing issues in Gandhi Nagar,Other
Public nuisance reported in Park Area,Other
Garbage not collected in Market Area,Sanitation
Streetlight not working in School Road,Electricity
Blocked drain causing flooding at Colony Gate,Drainage
Burst pipeline near Bus Stand,Water Supply
Road damage reported near Park Area,PWD
Water stagnation due to drainage in Bus Stand,Drainage
Uneven road surface in Block A area,PWD
Waste accumulation causing smell in Block A,Sanitation
Broken pavement near Colony Gate,PWD
No water supply in Park Area,Water Supply
No water supply in Anna Nagar,Water Supply
Clogged drainage system in School Road,Drainage
Blocked drain causing flooding at Anna Nagar,Drainage
Public nuisance reported in Main Street,Other
There is a pothole on Block A road,PWD
Blocked drain causing flooding at Main Street,Drainage
Drainage overflow in Market Area,Drainage
Power outage in Block A,Electricity
Drainage overflow in Main Street,Drainage
Waste accumulation causing smell in Main Street,Sanitation
Power outage in School Road,Electricity
Garbage not collected in Bus Stand,Sanitation
Electric pole issue at School Road,Electricity
Cracks on the road at Gandhi Nagar,PWD
Low water pressure in Colony Gate,Water Supply
Drainage overflow in Colony Gate,Drainage
Overflowing dustbins near MG Road,Sanitation
Uneven road surface in Colony Gate area,PWD
Sewage issue reported in Anna Nagar,Drainage
Waste accumulation causing smell in Market Area,Sanitation
Unclean streets reported in Anna Nagar,Sanitation
Sewage issue reported in Market Area,Drainage
Streetlight not working in Block A,Electricity
Road damage reported near Park Area,PWD
Uneven road surface in MG Road area,PWD
Garbage not collected in Anna Nagar,Sanitation
Stray animals causing issues in Block A,Other
Waste accumulation causing smell in Gandhi Nagar,Sanitation
Unclean streets reported in Park Area,Sanitation
No electricity supply in Colony Gate,Electricity
Burst pipeline near Gandhi Nagar,Water Supply
General complaint in Market Area,Other
Noise pollution in Bus Stand,Other
Noise pollution in Bus Stand,Other
Noise pollution in Block A,Other
No electricity supply in Park Area,Electricity
Cracks on the road at Colony Gate,PWD
Uneven road surface in Gandhi Nagar area,PWD
Power outage in Main Street,Electricity
Unclean streets reported in MG Road,Sanitation
General complaint in MG Road,Other
Water leakage at Colony Gate,Water Supply
Garbage not collected in Anna Nagar,Sanitation
Water stagnation due to drainage in Block A,Drainage
Drainage overflow in Market Area,Drainage
Waste accumulation causing smell in MG Road,Sanitation
Electric pole issue at MG Road,Electricity
Burst pipeline near Block A,Water Supply
Noise pollution in Market Area,Other
Streetlight not working in Bus Stand,Electricity
No electricity supply in Main Street,Electricity
Drainage overflow in Park Area,Drainage
Broken pavement near Park Area,PWD
Water leakage at School Road,Water Supply
Water leakage at Market Area,Water Supply
Streetlight not working in School Road,Electricity
Low water pressure in Main Street,Water Supply
Clogged drainage system in Block A,Drainage
Garbage not collected in Park Area,Sanitation
Power outage in Market Area,Electricity
No water supply in Gandhi Nagar,Water Supply
Blocked drain causing flooding at Block A,Drainage
Road damage reported near School Road,PWD
Stray animals causing issues in Block A,Other
Broken pavement near Block A,PWD
Low water pressure in Park Area,Water Supply
Power outage in Anna Nagar,Electricity
Blocked drain causing flooding at MG Road,Drainage
Waste accumulation causing smell in Colony Gate,Sanitation
Unclean streets reported in Bus Stand,Sanitation
Sewage issue reported in MG Road,Drainage
Water shortage reported in School Road,Water Supply
No water supply in MG Road,Water Supply
Broken pavement near Bus Stand,PWD
Waste accumulation causing smell in Park Area,Sanitation
Public nuisance reported in Block A,Other
Broken pavement near Gandhi Nagar,PWD
Road damage reported near Anna Nagar,PWD
Illegal activity reported in School Road,Other
Streetlight not working in Block A,Electricity
Unclean streets reported in MG Road,Sanitation
Garbage lying unattended at School Road,Sanitation
Low water pressure in Gandhi Nagar,Water Supply
Garbage lying unattended at School Road,Sanitation
Blocked drain causing flooding at Bus Stand,Drainage
Uneven road surface in Block A area,PWD
Frequent power cuts in Colony Gate,Electricity
Garbage not collected in Bus Stand,Sanitation
Water leakage at School Road,Water Supply
Low water pressure in Main Street,Water Supply
Water shortage reported in Main Street,Water Supply
Electric pole issue at Gandhi Nagar,Electricity
Garbage not collected in Colony Gate,Sanitation
Overflowing dustbins near Park Area,Sanitation
Burst pipeline near Market Area,Water Supply
Road damage reported near Colony Gate,PWD
Garbage lying unattended at Block A,Sanitation
No electricity supply in Anna Nagar,Electricity
Power outage in Anna Nagar,Electricity
Water stagnation due to drainage in Main Street,Drainage
Burst pipeline near Bus Stand,Water Supply
Uneven road surface in Gandhi Nagar area,PWD
Water shortage reported in Main Street,Water Supply
Garbage not collected in Bus Stand,Sanitation
Water stagnation due to drainage in Main Street,Drainage
Sewage issue reported in Colony Gate,Drainage
Electric pole issue at Block A,Electricity
There is a pothole on Block A road,PWD
Noise pollution in Gandhi Nagar,Other
Waste accumulation causing smell in Bus Stand,Sanitation
Public nuisance reported in Market Area,Other
Uneven road surface in Main Street area,PWD
Road damage reported near Park Area,PWD
Water shortage reported in Gandhi Nagar,Water Supply
Water stagnation due to drainage in Main Street,Drainage
Garbage lying unattended at Market Area,Sanitation
Broken pavement near Main Street,PWD
Illegal activity reported in Gandhi Nagar,Other
Garbage not collected in Market Area,Sanitation
Streetlight not working in Park Area,Electricity
No water supply in Park Area,Water Supply
Clogged drainage system in Anna Nagar,Drainage
There is a pothole on Block A road,PWD
Power outage in Anna Nagar,Electricity
General complaint in Main Street,Other
Streetlight not working in Market Area,Electricity
Electric pole issue at Park Area,Electricity
Garbage lying unattended at Market Area,Sanitation
There is a pothole on Main Street road,PWD
Drainage overflow in Gandhi Nagar,Drainage
Waste accumulation causing smell in Block A,Sanitation
Public nuisance reported in MG Road,Other
Streetlight not working in Market Area,Electricity
Noise pollution in School Road,Other
Power outage in Park Area,Electricity
Garbage lying unattended at Market Area,Sanitation
Garbage lying unattended at Block A,Sanitation
Road damage reported near Park Area,PWD
Water leakage at Park Area,Water Supply
Broken pavement near Bus Stand,PWD
Streetlight not working in School Road,Electricity
Broken pavement near Gandhi Nagar,PWD
Power outage in Anna Nagar,Electricity
Garbage lying unattended at Anna Nagar,Sanitation
There is a pothole on Colony Gate road,PWD
Frequent power cuts in Market Area,Electricity
Low water pressure in School Road,Water Supply
Water leakage at Colony Gate,Water Supply
Garbage not collected in School Road,Sanitation
Unclean streets reported in Anna Nagar,Sanitation
No water supply in MG Road,Water Supply
Blocked drain causing flooding at Bus Stand,Drainage
Streetlight not working in Market Area,Electricity
Cracks on the road at Park Area,PWD
Stray animals causing issues in Gandhi Nagar,Other
Sewage issue reported in MG Road,Drainage
Water leakage at Main Street,Water Supply
Water stagnation due to drainage in Anna Nagar,Drainage
Blocked drain causing flooding at Park Area,Drainage
Streetlight not working in Block A,Electricity
Noise pollution in Colony Gate,Other
Streetlight not working in Anna Nagar,Electricity
Cracks on the road at Main Street,PWD
Overflowing dustbins near Anna Nagar,Sanitation
Waste accumulation causing smell in Block A,Sanitation
General complaint in Bus Stand,Other
Waste accumulation causing smell in Colony Gate,Sanitation
Streetlight not working in Main Street,Electricity
No electricity supply in Main Street,Electricity
Clogged drainage system in MG Road,Drainage
Cracks on the road at Market Area,PWD
Drainage overflow in Block A,Drainage
Garbage lying unattended at Block A,Sanitation
Low water pressure in Main Street,Water Supply
Blocked drain causing flooding at Block A,Drainage
Waste accumulation causing smell in School Road,Sanitation
Unclean streets reported in Main Street,Sanitation
Drainage overflow in Gandhi Nagar,Drainage
Broken pavement near Main Street,PWD
Drainage overflow in Colony Gate,Drainage
Water shortage reported in Colony Gate,Water Supply
Frequent power cuts in Gandhi Nagar,Electricity
Sewage issue reported in School Road,Drainage
Frequent power cuts in Colony Gate,Electricity
Uneven road surface in Park Area area,PWD
Garbage not collected in Colony Gate,Sanitation
Blocked drain causing flooding at School Road,Drainage
Garbage not collected in School Road,Sanitation
Overflowing dustbins near Colony Gate,Sanitation
Low water pressure in Main Street,Water Supply
Water leakage at Bus Stand,Water Supply
Clogged drainage system in Park Area,Drainage
Clogged drainage system in Gandhi Nagar,Drainage
No electricity supply in Bus Stand,Electricity
Water shortage reported in Park Area,Water Supply
Streetlight not working in Park Area,Electricity
There is a pothole on Main Street road,PWD
General complaint in Bus Stand,Other
Broken pavement near Anna Nagar,PWD
Garbage not collected in Park Area,Sanitation
No water supply in School Road,Water Supply
Drainage overflow in Main Street,Drainage
Overflowing dustbins near Anna Nagar,Sanitation
Illegal activity reported in MG Road,Other
No water supply in School Road,Water Supply
Water shortage reported in Gandhi Nagar,Water Supply
Road damage reported near Gandhi Nagar,PWD
Low water pressure in Market Area,Water Supply
Streetlight not working in Market Area,Electricity
Water stagnation due to drainage in Bus Stand,Drainage
Water shortage reported in Park Area,Water Supply
No water supply in Park Area,Water Supply
Power outage in Bus Stand,Electricity
Unclean streets reported in Block A,Sanitation
Stray animals causing issues in Block A,Other
Garbage not collected in Main Street,Sanitation
Garbage not collected in School Road,Sanitation
No water supply in Main Street,Water Supply
Electric pole issue at Block A,Electricity
Drainage overflow in Main Street,Drainage
Water leakage at Park Area,Water Supply
Public nuisance reported in Anna Nagar,Other
Stray animals causing issues in Anna Nagar,Other
No electricity supply in School Road,Electricity
General complaint in Gandhi Nagar,Other
Burst pipeline near Colony Gate,Water Supply
Overflowing dustbins near Gandhi Nagar,Sanitation
Frequent power cuts in Block A,Electricity
Overflowing dustbins near Market Area,Sanitation
Public nuisance reported in Colony Gate,Other
There is a pothole on MG Road road,PWD
Road damage reported near School Road,PWD
Illegal activity reported in Market Area,Other
Frequent power cuts in Bus Stand,Electricity
Low water pressure in MG Road,Water Supply
Blocked drain causing flooding at Gandhi Nagar,Drainage
Cracks on the road at Market Area,PWD
Overflowing dustbins near Colony Gate,Sanitation
Road damage reported near Bus Stand,PWD
Water leakage at Anna Nagar,Water Supply
Water leakage at Market Area,Water Supply
Waste accumulation causing smell in Main Street,Sanitation
Uneven road surface in School Road area,PWD
Public nuisance reported in School Road,Other
Uneven road surface in Gandhi Nagar area,PWD
Sewage issue reported in Bus Stand,Drainage
No water supply in School Road,Water Supply
Frequent power cuts in Market Area,Electricity
There is a pothole on Colony Gate road,PWD
Water leakage at Park Area,Water Supply
